,Batter,Dismissal,Runs,Balls,Fours,Sixes,SR,Team,Match,Catches
1052,Abishek Porel (wk),c Lockie Ferguson b Yash Dayal,2,3,0,0,66.67,Delhi Capitals,rcb vs dc,Lockie Ferguson
1053,Shai Hope,c Karn Sharma b Lockie Ferguson,29,23,4,0,126.09,Delhi Capitals,rcb vs dc,Karn Sharma
1054,Kumar Kushagra,lbw b Siraj,2,3,0,0,66.67,Delhi Capitals,rcb vs dc,NA
1055,Axar Patel (c),c du Plessis b Yash Dayal,57,39,5,3,146.15,Delhi Capitals,rcb vs dc,du Plessis
1056,Tristan Stubbs,run out (Green),3,4,0,0,75.0,Delhi Capitals,rcb vs dc,NA
1057,Rasikh Dar Salam,c Will Jacks b Green,10,12,1,0,83.33,Delhi Capitals,rcb vs dc,Will Jacks
1058,Kuldeep Yadav,b Yash Dayal,6,10,0,0,60.0,Delhi Capitals,rcb vs dc,NA
1059,Mukesh Kumar,c Lomror b Lockie Ferguson,3,7,0,0,42.86,Delhi Capitals,rcb vs dc,Lomror
1060,Ishant Sharma,not out,0,4,0,0,0.0,Delhi Capitals,rcb vs dc,not out
1061,Quinton de Kock (wk),c Mukesh Kumar b Ishant,12,8,2,0,150.0,Lucknow Super Giants,dc vs lsg,Mukesh Kumar
1062,KL Rahul (c),c Mukesh Kumar b Ishant,5,3,1,0,166.67,Lucknow Super Giants,dc vs lsg,Mukesh Kumar
1063,Marcus Stoinis,st Pant b Axar,5,7,1,0,71.43,Lucknow Super Giants,dc vs lsg,NA
1064,Deepak Hooda,lbw b Ishant,0,2,0,0,0.0,Lucknow Super Giants,dc vs lsg,NA
1065,Nicholas Pooran,c Axar b Mukesh Kumar,61,27,6,4,225.93,Lucknow Super Giants,dc vs lsg,Axar
1066,Ayush Badoni,c Gulbadin b Tristan Stubbs,6,9,0,0,66.67,Lucknow Super Giants,dc vs lsg,Gulbadin
1067,Krunal Pandya,st Pant b Kuldeep Yadav,18,18,2,0,100.0,Lucknow Super Giants,dc vs lsg,NA
1068,Arshad Khan,not out,58,33,3,5,175.76,Lucknow Super Giants,dc vs lsg,not out
1069,Yudhvir Singh Charak,c Shai Hope b Khaleel Ahmed,14,7,1,1,200.0,Lucknow Super Giants,dc vs lsg,Shai Hope
1070,Ravi Bishnoi,run out (Jake Fraser-McGurk),2,2,0,0,100.0,Lucknow Super Giants,dc vs lsg,NA
1071,Naveen-ul-Haq,not out,2,4,0,0,50.0,Lucknow Super Giants,dc vs lsg,not out
1072,Prabhsimran Singh,c Chahal b Boult,6,4,1,0,150.0,Punjab Kings,rr vs pbks,Chahal
1073,Jonny Bairstow (wk),c Riyan Parag b Chahal,14,22,1,0,63.64,Punjab Kings,rr vs pbks,Riyan Parag
1074,Rilee Rossouw,c Yashasvi Jaiswal b Avesh Khan,22,13,5,0,169.23,Punjab Kings,rr vs pbks,Yashasvi Jaiswal
1075,Shashank Singh,lbw b Avesh Khan,0,2,0,0,0.0,Punjab Kings,rr vs pbks,NA
1076,Sam Curran (c),not out,63,41,5,3,153.66,Punjab Kings,rr vs pbks,not out
1077,Jitesh Sharma,c Riyan Parag b Chahal,22,20,0,2,110.0,Punjab Kings,rr vs pbks,Riyan Parag
1078,Ashutosh Sharma,not out,17,11,1,1,154.55,Punjab Kings,rr vs pbks,not out
1079,Rohit Sharma,c Mohsin Khan b Ravi Bishnoi,68,38,10,3,178.95,Mumbai Indians,mi vs lsg,Mohsin Khan
1080,Dewald Brevis,c Krunal Pandya b Naveen-ul-Haq,23,20,1,2,115.0,Mumbai Indians,mi vs lsg,Krunal Pandya
1081,Suryakumar Yadav,c Ravi Bishnoi b Krunal Pandya,0,3,0,0,0.0,Mumbai Indians,mi vs lsg,Ravi Bishnoi
1082,Ishan Kishan (wk),b Naveen-ul-Haq,14,15,1,0,93.33,Mumbai Indians,mi vs lsg,NA
1083,Hardik Pandya (c),c Naveen-ul-Haq b Mohsin Khan,16,13,1,1,123.08,Mumbai Indians,mi vs lsg,Naveen-ul-Haq
1084,Nehal Wadhera,c Krunal Pandya b Ravi Bishnoi,1,3,0,0,33.33,Mumbai Indians,mi vs lsg,Krunal Pandya
1085,Naman Dhir,not out,62,28,4,5,221.43,Mumbai Indians,mi vs lsg,not out
1086,Romario Shepherd,not out,1,1,0,0,100.0,Mumbai Indians,mi vs lsg,not out
1087,Ruturaj Gaikwad (c),c Yash Dayal b Maxwell,0,1,0,0,0.0,Chennai Super Kings,rcb vs csk,Yash Dayal
1088,Rachin Ravindra,run out (Swapnil Singh/Karthik),61,37,5,3,164.86,Chennai Super Kings,rcb vs csk,NA
1089,Daryl Mitchell,c Kohli b Yash Dayal,4,6,0,0,66.67,Chennai Super Kings,rcb vs csk,Kohli
1090,Ajinkya Rahane,c du Plessis b Lockie Ferguson,33,22,3,1,150.0,Chennai Super Kings,rcb vs csk,du Plessis
1091,Shivam Dube,c Lockie Ferguson b Green,7,15,0,0,46.67,Chennai Super Kings,rcb vs csk,Lockie Ferguson
1092,Ravindra Jadeja,not out,42,22,3,3,190.91,Chennai Super Kings,rcb vs csk,not out
1093,Mitchell Santner,c du Plessis b Siraj,3,4,0,0,75.0,Chennai Super Kings,rcb vs csk,du Plessis
1094,MS Dhoni (wk),c Swapnil Singh b Yash Dayal,25,13,3,1,192.31,Chennai Super Kings,rcb vs csk,Swapnil Singh
1095,Shardul Thakur,not out,1,2,0,0,50.0,Chennai Super Kings,rcb vs csk,not out
1096,Travis Head,b Arshdeep Singh,0,1,0,0,0.0,Sunrisers Hyderabad,srh vs pbks,NA
1097,Abhishek Sharma,c Shivam Singh b Shashank Singh,66,28,5,6,235.71,Sunrisers Hyderabad,srh vs pbks,Shivam Singh
1098,Rahul Tripathi,c Arshdeep Singh b Harshal Patel,33,18,4,2,183.33,Sunrisers Hyderabad,srh vs pbks,Arshdeep Singh
1099,Nitish Reddy,c Shivam Singh b Harshal Patel,37,25,1,3,148.0,Sunrisers Hyderabad,srh vs pbks,Shivam Singh
1100,Heinrich Klaasen (wk),b Harpreet Brar,42,26,3,2,161.54,Sunrisers Hyderabad,srh vs pbks,NA
1101,Shahbaz Ahmed,c Shashank Singh b Arshdeep Singh,3,6,0,0,50.0,Sunrisers Hyderabad,srh vs pbks,Shashank Singh
1102,Abdul Samad,not out,11,8,0,1,137.5,Sunrisers Hyderabad,srh vs pbks,not out
1103,Sanvir Singh,not out,6,4,1,0,150.0,Sunrisers Hyderabad,srh vs pbks,not out
1104,Rahmanullah Gurbaz (wk),c V Viyaskanth b T Natarajan,23,14,2,2,164.29,Kolkata Knight Riders,kkr vs srh,V Viyaskanth
1105,Sunil Narine,c V Viyaskanth b Cummins,21,16,4,0,131.25,Kolkata Knight Riders,kkr vs srh,V Viyaskanth
1106,Venkatesh Iyer,not out,51,28,5,4,182.14,Kolkata Knight Riders,kkr vs srh,not out
1107,Shreyas Iyer (c),not out,58,24,5,4,241.67,Kolkata Knight Riders,kkr vs srh,not out
1108,Yashasvi Jaiswal,c Karthik b Green,45,30,8,0,150.0,Rajasthan Royals,rr vs rcb,Karthik
1109,Tom Kohler-Cadmore,b Lockie Ferguson,20,15,4,0,133.33,Rajasthan Royals,rr vs rcb,NA
1110,Sanju Samson (c & wk),st Karthik b Karn Sharma,17,13,0,1,130.77,Rajasthan Royals,rr vs rcb,NA
1111,Riyan Parag,b Siraj,36,26,2,2,138.46,Rajasthan Royals,rr vs rcb,NA
1112,Dhruv Jurel,run out (Kohli/Green),8,8,1,0,100.0,Rajasthan Royals,rr vs rcb,NA
1113,Shimron Hetmyer,c du Plessis b Siraj,26,14,3,1,185.71,Rajasthan Royals,rr vs rcb,du Plessis
1114,Rovman Powell,not out,16,8,2,1,200.0,Rajasthan Royals,rr vs rcb,not out
1115,Ravichandran Ashwin,not out,0,0,0,0,0.0,Rajasthan Royals,rr vs rcb,not out
1116,Yashasvi Jaiswal,c Abdul Samad b Shahbaz Ahmed,42,21,4,3,200.0,Rajasthan Royals,srh vs rr,Abdul Samad
1117,Tom Kohler-Cadmore,c Tripathi b Cummins,10,16,1,0,62.5,Rajasthan Royals,srh vs rr,Tripathi
1118,Sanju Samson (c & wk),c Markram b Abhishek Sharma,10,11,1,0,90.91,Rajasthan Royals,srh vs rr,Markram
1119,Riyan Parag,c Abhishek Sharma b Shahbaz Ahmed,6,10,0,0,60.0,Rajasthan Royals,srh vs rr,Abhishek Sharma
1120,Dhruv Jurel,not out,56,35,7,2,160.0,Rajasthan Royals,srh vs rr,not out
1121,Ravichandran Ashwin,c Klaasen b Shahbaz Ahmed,0,3,0,0,0.0,Rajasthan Royals,srh vs rr,Klaasen
1122,Shimron Hetmyer,b Abhishek Sharma,4,10,0,0,40.0,Rajasthan Royals,srh vs rr,NA
1123,Rovman Powell,c Abhishek Sharma b T Natarajan,6,12,0,0,50.0,Rajasthan Royals,srh vs rr,Abhishek Sharma
1124,Trent Boult,not out,0,3,0,0,0.0,Rajasthan Royals,srh vs rr,not out
1125,Rahmanullah Gurbaz (wk),lbw b Shahbaz Ahmed,39,32,5,2,121.88,Kolkata Knight Riders,kkr vs srh,NA
1126,Sunil Narine,c Shahbaz Ahmed b Cummins,6,2,0,1,300.0,Kolkata Knight Riders,kkr vs srh,Shahbaz Ahmed
1127,Venkatesh Iyer,not out,52,26,4,3,200.0,Kolkata Knight Riders,kkr vs srh,not out
1128,Shreyas Iyer (c),not out,6,3,1,0,200.0,Kolkata Knight Riders,kkr vs srh,not out
