,Batter,Dismissal,Runs,Balls,Fours,Sixes,SR,Team,Match,Catches
912,Riyan Parag,c Ayush Badoni b Amit Mishra,14,11,0,1,127.27,Rajasthan Royals,lsg vs rr,Ayush Badoni
913,Dhruv Jurel,not out,52,34,5,2,152.94,Rajasthan Royals,lsg vs rr,not out
914,Virat Kohli,not out,70,44,6,3,159.09,Royal Challengers Bengaluru,gt vs rcb,not out
915,Faf du Plessis (c),c (sub)Vijay Shankar b Sai Kishore,24,12,1,3,200.0,Royal Challengers Bengaluru,gt vs rcb,(sub)Vijay Shankar
916,Will Jacks,not out,100,41,5,10,243.9,Royal Challengers Bengaluru,gt vs rcb,not out
917,Travis Head,c Daryl Mitchell b Tushar Deshpande,13,7,1,1,185.71,Sunrisers Hyderabad,csk vs srh,Daryl Mitchell
918,Abhishek Sharma,c Daryl Mitchell b Tushar Deshpande,15,9,1,1,166.67,Sunrisers Hyderabad,csk vs srh,Daryl Mitchell
919,Anmolpreet Singh,c Moeen b Tushar Deshpande,0,1,0,0,0.0,Sunrisers Hyderabad,csk vs srh,Moeen
920,Aiden Markram,b Matheesha Pathirana,32,26,4,0,123.08,Sunrisers Hyderabad,csk vs srh,NA
921,Nitish Reddy,c Dhoni b Ravindra Jadeja,15,15,0,0,100.0,Sunrisers Hyderabad,csk vs srh,Dhoni
922,Heinrich Klaasen (wk),c Daryl Mitchell b Matheesha Pathirana,20,21,0,1,95.24,Sunrisers Hyderabad,csk vs srh,Daryl Mitchell
923,Abdul Samad,c (sub)Sameer Rizvi b Thakur,19,18,1,1,105.56,Sunrisers Hyderabad,csk vs srh,(sub)Sameer Rizvi
924,Shahbaz Ahmed,c Daryl Mitchell b Mustafizur,7,5,1,0,140.0,Sunrisers Hyderabad,csk vs srh,Daryl Mitchell
925,Pat Cummins (c),c Daryl Mitchell b Tushar Deshpande,5,7,1,0,71.43,Sunrisers Hyderabad,csk vs srh,Daryl Mitchell
926,Bhuvneshwar Kumar,not out,4,3,0,0,133.33,Sunrisers Hyderabad,csk vs srh,not out
927,Jaydev Unadkat,c Moeen b Mustafizur,1,2,0,0,50.0,Sunrisers Hyderabad,csk vs srh,Moeen
928,Philip Salt (wk),b Axar,68,33,7,5,206.06,Kolkata Knight Riders,kkr vs dc,NA
929,Sunil Narine,c Jake Fraser-McGurk b Axar,15,10,3,0,150.0,Kolkata Knight Riders,kkr vs dc,Jake Fraser-McGurk
930,Rinku Singh,c Kuldeep Yadav b Williams,11,11,1,0,100.0,Kolkata Knight Riders,kkr vs dc,Kuldeep Yadav
931,Shreyas Iyer (c),not out,33,23,3,1,143.48,Kolkata Knight Riders,kkr vs dc,not out
932,Venkatesh Iyer,not out,26,23,2,1,113.04,Kolkata Knight Riders,kkr vs dc,not out
933,KL Rahul (c & wk),c Nabi b Hardik Pandya,28,22,3,1,127.27,Lucknow Super Giants,lsg vs mi,Nabi
934,Arshin Kulkarni,lbw b N Thushara,0,1,0,0,0.0,Lucknow Super Giants,lsg vs mi,NA
935,Marcus Stoinis,c Tilak Varma b Nabi,62,45,7,2,137.78,Lucknow Super Giants,lsg vs mi,Tilak Varma
936,Deepak Hooda,c Bumrah b Hardik Pandya,18,18,2,0,100.0,Lucknow Super Giants,lsg vs mi,Bumrah
937,Nicholas Pooran,not out,14,14,1,0,100.0,Lucknow Super Giants,lsg vs mi,not out
938,Ashton Turner,b Gerald Coetzee,5,9,0,0,55.56,Lucknow Super Giants,lsg vs mi,NA
939,Ayush Badoni,run out ((sub)Naman Dhir/Ishan Kishan),6,6,1,0,100.0,Lucknow Super Giants,lsg vs mi,NA
940,Krunal Pandya,not out,1,1,0,0,100.0,Lucknow Super Giants,lsg vs mi,not out
941,Prabhsimran Singh,c Ruturaj Gaikwad b Richard Gleeson,13,10,1,1,130.0,Punjab Kings,csk vs pbks,Ruturaj Gaikwad
942,Jonny Bairstow,c Dhoni b Shivam Dube,46,30,7,1,153.33,Punjab Kings,csk vs pbks,Dhoni
943,Rilee Rossouw,b Thakur,43,23,5,2,186.96,Punjab Kings,csk vs pbks,NA
944,Shashank Singh,not out,25,26,1,1,96.15,Punjab Kings,csk vs pbks,not out
945,Sam Curran (c),not out,26,20,3,0,130.0,Punjab Kings,csk vs pbks,not out
946,Yashasvi Jaiswal,b T Natarajan,67,40,7,2,167.5,Rajasthan Royals,srh vs rr,NA
947,Jos Buttler,c Marco Jansen b Bhuvneshwar,0,1,0,0,0.0,Rajasthan Royals,srh vs rr,Marco Jansen
948,Sanju Samson (c & wk),b Bhuvneshwar,0,3,0,0,0.0,Rajasthan Royals,srh vs rr,NA
949,Riyan Parag,c Marco Jansen b Cummins,77,49,8,4,157.14,Rajasthan Royals,srh vs rr,Marco Jansen
950,Shimron Hetmyer,c Marco Jansen b T Natarajan,13,9,1,1,144.44,Rajasthan Royals,srh vs rr,Marco Jansen
951,Rovman Powell,lbw b Bhuvneshwar,27,15,3,1,180.0,Rajasthan Royals,srh vs rr,NA
952,Dhruv Jurel,c Abhishek Sharma b Cummins,1,3,0,0,33.33,Rajasthan Royals,srh vs rr,Abhishek Sharma
953,Ravichandran Ashwin,not out,2,2,0,0,100.0,Rajasthan Royals,srh vs rr,not out
954,Ishan Kishan (wk),b Starc,13,7,1,1,185.71,Mumbai Indians,mi vs kkr,NA
955,Rohit Sharma,c Manish Pandey b Narine,11,12,0,1,91.67,Mumbai Indians,mi vs kkr,Manish Pandey
956,Naman Dhir,b Chakaravarthy,11,11,2,0,100.0,Mumbai Indians,mi vs kkr,NA
